State,Favorite
Alabama,Pizza Hut/Tacobell
Alaska,Subway
Arizona,Tacobell
Arkansas,Pizza Hut/Tacobell
California,Tacobell
Colorado,Tacobell
Connecticut,Subway
Delaware,Dairy Queen
Florida,Wendys
Georgia,Wendys
Hawaii,Pizza Hut
Idaho,Pizza Hut
Illinois,Dairy Queen
Indiana,Tacobell
Iowa,Dairy Queen
Kansas,Pizza Hut
Kentucky,Wendys
Louisiana,Wendys
Maine,Dairy Queen
Maryland,Wendys
Massachusetts,Wendys
Michigan,Tacobell
Minnesota,Dairy Queen
Mississippi,Pizza Hut/Wendys
Missouri,Tacobell
Montana,Dairy Queen
Nebraska,Subway/Pizza Hut
Nevada,Tacobell
New Hampshire,Wendys
New Jersey,Wendys
New Mexico,Tacobell
New York,Wendys
North Carolina,Wendys
North Dakota,Dairy Queen
Ohio,Wendys
Oklahoma,Subway
Oregon,Dairy Queen
Pennsylvania,Wendys
Rhode Island,Wendys
South Carolina,Wendys
South Dakota,Subway
Tennessee,Tacobell
Texas,Dairy Queen
Utah,Wendys
Vermont,Subway
Virginia,Wendys
Washington,Dairy Queen
West Virginia,Wendys
Wisconsin,Subway
Wyoming,Subway/Pizza Hut
