State,Tacobell stores
Alabama,132
Alaska,15
Arizona,177
Arkansas,101
California,825
Colorado,151
Connecticut,45
Delaware,15
Florida,442
Georgia,243
Hawaii,30
Idaho,30
Illinois,261
Indiana,229
Iowa,55
Kansas,91
Kentucky,145
Louisiana,134
Maine,20
Maryland,91
Massachusetts,67
Michigan,291
Minnesota,84
Mississippi,82
Missouri,209
Montana,20
Nebraska,42
Nevada,78
New Hampshire,19
New Jersey,93
New Mexico,57
New York,189
North Carolina,247
North Dakota,11
Ohio,368
Oklahoma,107
Oregon,110
Pennsylvania,176
Rhode Island,16
South Carolina,110
South Dakota,16
Tennessee,231
Texas,653
Utah,59
Vermont,5
Virginia,202
Washington,143
West Virginia,60
Wisconsin,132
Wyoming,12
