State,Wendy's stores
Alabama,99
Alaska,9
Arizona,100
Arkansas,65
California,282
Colorado,130
Connecticut,52
Delaware,12
Florida,525
Georgia,285
Hawaii,10
Idaho,30
Illinois,197
Indiana,178
Iowa,42
Kansas,70
Kentucky,144
Louisiana,125
Maine,16
Maryland,99
Massachusetts,97
Michigan,242
Minnesota,55
Mississippi,95
Missouri,98
Montana,16
Nebraska,26
Nevada,45
New Hampshire,23
New Jersey,142
New Mexico,42
New York,216
North Carolina,257
North Dakota,8
Ohio,409
Oklahoma,48
Oregon,41
Pennsylvania,258
Rhode Island,19
South Carolina,130
South Dakota,7
Tennessee,171
Texas,422
Utah,85
Vermont,4
Virginia,222
Washington,77
Washington DC,4
West Virginia,70
Wisconsin,55
Wyoming,14
